id,brand,closure,code,description,heel_height,heel_type,inner_material,name,outer_material,price,shoe_width,sole,created_at,review_count,review_score,sold_count,stock_count,updated_at
12,Visit the Jamron Store,Pull On,B0743BKHVW,Is Discontinued By Manufacturer: \nNo\n\n\nProduct Dimensions: \n29 x 9.5 x 8 cm; 480 Grams\n\n\nDate First Available: \n3 April 2017\n\n\nASIN: \nB01E1CIZ8G\n\n\nItem model number: \nS2088-23\n\n\nDepartment: \nMen,1 centimetres,Flat,Leather,Jamron Men's Suede Leather Penny Loafers Comfort Driving Shoes Moccasin Slippers,Suede Leather,29.9,Normal,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
13,Visit the Clarks Store,Zip,B08Q4DR8PW,Package Dimensions: \n28.4 x 18.6 x 11 cm; 580 Grams\n\n\nDate First Available: \n16 Dec. 2020\n\n\nManufacturer: \nClarks\n\n\nASIN: \nB08Q4DR8PW\n\n\nItem model number: \n261626254\n\n\nDepartment: \nWomen,2 centimetres,Flat,Manmade,Clarks Women's Layton Step Sneaker,Smooth Leather,65,Medium,Ethylene Vinyl Acetate,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
14,Marco Tozzi,Lace-Up,B0824HNXX5,Is Discontinued By Manufacturer: \nNo\n\n\nPackage Dimensions: \n31.39 x 21.89 x 10.19 cm; 910 Grams\n\n\nDate First Available: \n29 Nov. 2019\n\n\nManufacturer: \nMARCO TOZZI Shoes GmbH & Co. KG\n\n\nASIN: \nB0824HBC9D\n\n\nItem model number: \n2-2-23754,4 centimetres,Flat,Material mix of textile and synthetic,MARCO TOZZI Women's 2-2-23754-35 Sneaker,Material mix made from leather and textile,29.12,Medium,Synthetic,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
15,T.U.K. Shoes,Buckle,B01ENA48S2,Package Dimensions: \n30.23 x 19.05 x 11.43 cm; 1.16 Kilograms\n\n\nDate First Available: \n22 Sept. 2016\n\n\nManufacturer: \nT.U.K.\n\n\nASIN: \nB01ENA48S2\n\n\nItem model number: \nA9155\n\n\nCountry of origin: \nChina\n\n\nDepartment: \nBoy,2 centimetres,Flat,Textile,T.U.K. Shoes Burgundy Rub-Off Monk Buckle Pointed Creepers 3 UK,Leather,77,Normale,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
16,Visit the Skechers Store,Lace-Up,B08868TDGH,Package Dimensions: \n32.99 x 21.59 x 12.19 cm; 1.02 Kilograms\n\n\nDate First Available: \n6 May 2020\n\n\nManufacturer: \nSkechers\n\n\nASIN: \nB0885XTG44\n\n\nItem model number: \n155089\n\n\nDepartment: \nWomen,1 centimetres,Platform,Suede,Skechers womens 155090 Skecher Street Women's Uno - Sky Pop Size:,Suede,48.08,Medium,Suede,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
17,Legero,Lace-Up,B07F3YBJJC,Is Discontinued By Manufacturer: \nNo\n\n\nPackage Dimensions: \n31.4 x 19.4 x 10.8 cm; 660 Grams\n\n\nDate First Available: \n11 Jan. 2017\n\n\nManufacturer: \nLegero\n\n\nASIN: \nB01LYGNALD\n\n\nItem model number: \n0800823\n\n\nDepartment: \nWomen,2 centimetres,Flat,Textile lining,Legero Women's Tanaro Trainer,NAPPALEDER,45.57,Normal,Synthetic,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
18,Visit the Geox Store,Strap + Elastic Lace,B07LFVV6R2,Package Dimensions: \n25.65 x 18.8 x 9.4 cm; 498.95 Grams\n\n\nDate First Available: \n10 Aug. 2019\n\n\nManufacturer: \nGeox\n\n\nASIN: \nB07TWMZBM6\n\n\nItem model number: \nJ94ABA022CL\n\n\nDepartment: \nBoy,3 centimetres,Flat,Synthetic,Geox J Snake.2 Boy a Low-Top Sneakers,Smooth Leather,29.76,Medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
19,Visit the ECCO Store,Hook & Loop,B071HBYHQL,Is Discontinued By Manufacturer: \nNo\n\n\nProduct Dimensions: \n35 x 21.41 x 13 cm; 368.54 Grams\n\n\nDate First Available: \n3 Nov. 2009\n\n\nManufacturer: \nEcco\n\n\nASIN: \nB000NIF30G\n\n\nItem model number: \n06956450034\n\n\nDepartment: \nMen,2 centimetres,Flat,Synthetic Fabric,ECCO Men's Offroad Hiking Sandals,Leather,43.99,"Normal mens_us, Normal unisex_eu",Bast,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
20,Visit the Merrell Store,Lace-Up,B07KMBKYNP,Product Dimensions: \n25.4 x 38.1 x 15.24 cm; 368.54 Grams\n\n\nDate First Available: \n16 Nov. 2018\n\n\nManufacturer: \nMerrell\n\n\nASIN: \nB07KMBDZL9\n\n\nItem model number: \nJ16695\n\n\nDepartment: \nMen,1 inches,low-heel,Fabric,Merrell Men's Alpine Sneaker,"Fabric,Leather - Suede",32.34,M,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
21,Rieker,Zip,B07P6FJHHF,Product Dimensions: \n12 x 22 x 34 cm; 800 Grams\n\n\nDate First Available: \n16 Mar. 2019\n\n\nManufacturer: \nRieker\n\n\nASIN: \nB07P5H186L\n\n\nItem model number: \n53715-90\n\n\nDepartment: \nWomen,1 centimetres,West,Manmade,Rieker Women's Damen Halbschuhe 53715 Low Shoes,N / A,52.93,Medium,Ethylene Vinyl Acetate,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
22,Visit the DOGO Store,Lace-Up,B08DJ748DY,Package Dimensions: \n30 x 18 x 10 cm; 619 Grams\n\n\nDate First Available: \n27 Sept. 2020\n\n\nManufacturer: \nDOGO\n\n\nASIN: \nB08DJ9NC51\n\n\nItem model number: \ndgs020-sny003\n\n\nDepartment: \nWomen,3 centimetres,Flat,Polyester,DOGO Women's Sneaky Sneaker,Faux Leather,66,Medium,Thermoplastic Elastomers,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
23,Visit the Hotter Store,Zip,B08F5JQC26,Product Dimensions: \n30 x 20 x 10 cm; 610 Grams\n\n\nDate First Available: \n3 Aug. 2020\n\n\nManufacturer: \nHotter\n\n\nASIN: \nB08F5K1JL6\n\n\nItem model number: \nALDRXE\n\n\nDepartment: \nWomen,2.3 centimetres,Low,Synthetic,Hotter Women's Alder Wide Pump,Smooth Leather,32.59,Wide,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
24,TBS,Lace-Up,B07NDL9DSZ,Is Discontinued By Manufacturer: \nNo\n\n\nPackage Dimensions: \n33.6 x 17.4 x 11 cm; 600 Grams\n\n\nDate First Available: \n1 Jun. 2016\n\n\nManufacturer: \nTBS\n\n\nASIN: \nB01GEDM55E\n\n\nItem model number: \n40BRANDY--B7036\n\n\nDepartment: \nWomen,4.2 centimetres,Wedge,Textile,TBS Technisynthese Women's Brandy Tennis Shoes,Leather,77.3,Normale,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
25,Visit the Vans Store,Lace-Up,B00BIJ0P6G,Package Dimensions: \n26.6 x 13.4 x 10 cm; 907.18 Grams\n\n\nDate First Available: \n13 Jan. 2014\n\n\nManufacturer: \nVans\n\n\nASIN: \nB00BIJ0QUQ\n\n\nItem model number: \nVN000KI5\n\n\nDepartment: \nUnisex Kids,1 centimetres,Flat,Textile,Vans Unisex Kid's Atwood Canvas Sneaker,Canvas,14,Normal,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
26,Mustang,Lace-Up,B077518YQY,Package Dimensions: \n33.27 x 19.05 x 12.7 cm; 200 Grams\n\n\nDate First Available: \n30 Jan. 2018\n\n\nASIN: \nB079GBJTQJ\n\n\nItem model number: \n1099-302\n\n\nDepartment: \nWomen,1 centimetres,Block,Manmade,Mustang Women's 5053-307-18 Low-Top Sneakers,Textile,34.57,normal,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
27,CAPRICE,Hatch,B08C9JR9MW,Package Dimensions: \n30.8 x 18.8 x 11.6 cm; 1 Kilograms\n\n\nDate First Available: \n7 July 2020\n\n\nManufacturer: \nCaprice\n\n\nASIN: \nB08C9VSH96\n\n\nItem model number: \n9-9-24762-26\n\n\nDepartment: \nGirl,3.5 centimetres,Flat,Manmade,CAPRICE Women's 9-9-24762-26 Sneaker,Patent Leather,26.65,Medium,Ethylene Vinyl Acetate,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
28,Visit the Dunlop Store,Pull-On,9958045591,Is Discontinued By Manufacturer: \nNo\n\n\nPackage Dimensions: \n33 x 18 x 13 cm; 680 Grams\n\n\nDate First Available: \n20 Mar. 2012\n\n\nManufacturer: \nDunlop\n\n\nASIN: \n9958045451\n\n\nItem model number: \nDMH7789\n\n\nDepartment: \nMen,1 inches,Flat,Textile,Dunlop New Mens Velour Twin Gusset Slippers Gents Shoes Sizes UK 7 8 9 10 11 12,Synthetic,14.5,Regular,Synthetic,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
29,Visit the Skechers Store,Lace-Up,B07YG1MQ86,Product Dimensions: \n32.8 x 24.4 x 12.4 cm; 200 Grams\n\n\nDate First Available: \n11 Dec. 2019\n\n\nManufacturer: \nSkechers USA Ltd\n\n\nASIN: \nB07YG3F58T\n\n\nItem model number: \n232045\n\n\nDepartment: \nMen,1.75 inches,Flat,Synthetic,Skechers Men's D'lux Walker-Pensive Sneaker,Synthetic,42.66,Medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
30,Tommy Jeans,Pull On,B08L8FK8N2,Package Dimensions: \n32.5 x 21 x 12.3 cm; 1.04 Kilograms\n\n\nDate First Available: \n15 Oct. 2020\n\n\nManufacturer: \nPVH\n\n\nASIN: \nB08L8CKVGB\n\n\nItem model number: \nEM0EM00800\n\n\nDepartment: \nMen,1,No Heel,Canvas,Tommy Jeans Men's Virgil 6d2 Sneaker,Canvas,39.79,Medium,Thermoplastic Elastomers,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
31,ELAPHURUS,Lace-Up,B097BWMXWZ,Package Dimensions: \n22.7 x 21.6 x 7.2 cm; 230 Grams\n\n\nDate First Available: \n16 Jun. 2021\n\n\nASIN: \nB097BVB64W\n\n\nDepartment: \nUnisex Kids,2 centimetres,Flat,Mesh,Kids Trainers Mesh Running Shoes Casual Sneaker Trainers for Boys Girls,Synthetic,24.39,Normal,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
32,Visit the JOINFREE Store,Pull On,B07DWN5QB6,Package Dimensions: \n23.8 x 10.6 x 3.4 cm; 120 Grams\n\n\nDate First Available: \n7 Mar. 2020\n\n\nASIN: \nB085M9XCQC\n\n\nManufacturer reference: \nJF-01-CT01BlackDot34-35\n\n\nDepartment: \nUnisex,0.2 centimetres,Flat,Textile,JOINFREE Women Mens Water Shoes Boys Swimming Shoes Watersport Shoes Kids Water Socks Aqua Shoes for Ladies Beach Footwear Quick Dry,Polyester,12.99,Medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
33,Visit the find. Store,Pull-On,B07TL3T5VL,Package Dimensions: \n39 x 24.6 x 13 cm; 1.27 Kilograms\n\n\nDate First Available: \n27 Jan. 2020\n\n\nManufacturer: \nFIND\n\n\nASIN: \nB07TGKFX7T\n\n\nItem model number: \nArbor\n\n\nDepartment: \nMen,2.5 centimetres,Flat,Manmade,"find. Arbor, Men's Chelsea Boots",Leather,18.87,Normal,Ethylene Vinyl Acetate,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
34,CAPRICE,Zip,B082JGGQBM,Package Dimensions: \n32.4 x 21.4 x 11.6 cm; 920 Grams\n\n\nDate First Available: \n11 Dec. 2019\n\n\nManufacturer: \nCaprice\n\n\nASIN: \nB082JG4MLD\n\n\nItem model number: \n9-9-23705-25 017\n\n\nDepartment: \nWomen,5 centimetres,Flat,Manmade,CAPRICE Women's 9-9-23705-25 Sneaker,Smooth Leather,28.49,Wide,Ethylene Vinyl Acetate,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
35,Semler,Lace-Up,B073Q37RPZ,Is Discontinued By Manufacturer: \nNo\n\n\nPackage Dimensions: \n1 x 1 x 1 cm; 1 Kilograms\n\n\nDate First Available: \n8 Aug. 2018\n\n\nManufacturer: \nSemler\n\n\nASIN: \nB073Q37RPZ\n\n\nItem model number: \nB6025-511\n\n\nDepartment: \nWomen,2.5 centimetres,Flat,Leather,"Semler Women's Birgit Brogues, Braun Fango 030, 3.5 UK",Leather,72.58,Normal,Synthetic,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
36,Visit the Keds Store,Lace-Up,B000ER5QTO,Is Discontinued By Manufacturer: \nNo\n\n\nProduct Dimensions: \n28.19 x 15.49 x 10.41 cm; 221.13 Grams\n\n\nDate First Available: \n4 Jun. 2010\n\n\nManufacturer: \nKeds\n\n\nASIN: \nB000ER5QTO\n\n\nItem model number: \nWH45780\n\n\nDepartment: \nWomen,1 centimetres,Flat,Textile,Keds Women's Champion Leather Sneaker,Leather,31.49,Medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
37,bugatti,Lace-Up,B08FMFCP92,Package Dimensions: \n36 x 21.8 x 13.2 cm; 900 Grams\n\n\nDate First Available: \n11 Aug. 2020\n\n\nManufacturer: \nbugatti\n\n\nASIN: \nB08FMFCP92\n\n\nItem model number: \n311647101400\n\n\nDepartment: \nMen,1 centimetres,Flat,Textile,bugatti Men's 311647101400 Laces,Suede,22.34,Medium,synthetic,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
38,RUYBOZRY,Pull On,B091MJKLBV,Product Dimensions: \n20.5 x 6 x 9 cm; 200 Grams\n\n\nDate First Available: \n7 May 2021\n\n\nManufacturer: \nRUYBOZRY\n\n\nASIN: \nB091MRG8PY\n\n\nItem model number: \nS-EU-TJ-JAZZ-MJD\n\n\nDepartment: \nGirl,1 centimetres,Flat,Shearling,"RUYBOZRY Practice Jazz Shoes Split Sole Non-Slip Jazz Dance Shoes for Women&Men,Model-TJ-Jazz-JY",Smooth Leather,26.59,Normal centimetres,"The split sole material is EVA (Ethylene Vinyl Acetate Copolymer),which is shock-absorbing and non-slip,which can provide you with a full range of foot protection.",2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
39,Visit the Timberland Store,Hook & Loop,B075JM87QN,Is Discontinued By Manufacturer: \nNo\n\n\nPackage Dimensions: \n33.6 x 19.6 x 12.4 cm; 980 Grams\n\n\nDate First Available: \n19 Oct. 2016\n\n\nManufacturer: \nTimberland\n\n\nASIN: \nB01M7RUZR4\n\n\nItem model number: \nTB0A17TU0011\n\n\nDepartment: \nUnisex Adult,2 centimetres,Flat,Textile,Timberland Unisex Kid's Double Strap Hook & Loop Waterproof (Toddler) Chukka Boots,Leather,20.26,medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
40,Visit the ECCO Store,Lace-Up,B07RRJH3FT,Is Discontinued By Manufacturer: \nNo\n\n\nProduct Dimensions: \n33.78 x 28.7 x 13.21 cm; 612 Grams\n\n\nDate First Available: \n18 July 2019\n\n\nManufacturer: \nEcco\n\n\nASIN: \nB07RRJH6RQ\n\n\nItem model number: \n84183351052\n\n\nDepartment: \nWomen,3 centimetres,Flat,Textile,"ECCO Women's Biomstreetw Slip On Trainers, 7 UK",Synthetic,41.16,Normal,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
41,Visit the UGG Store,Lace-Up,B089NZ5W89,Package Dimensions: \n32.79 x 22.3 x 11.71 cm; 921 Grams\n\n\nDate First Available: \n4 Jun. 2020\n\n\nManufacturer: \nDeckers Europe Ltd trading as UGG\n\n\nASIN: \nB089NY4CJV\n\n\nItem model number: \n1118511\n\n\nDepartment: \nMen,1 1/4 inches,Flat,Synthetic,UGG Men's Pismo Sneaker Low Perf,Cow Leather,41.12,Medium,Ethylene Vinyl Acetate,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
42,Eagsouni,Lace-Up,B08FMHCPD1,Package Dimensions: \n29 x 20 x 10 cm; 940 Grams\n\n\nDate First Available: \n24 Aug. 2020\n\n\nASIN: \nB08GKM4HBT\n\n\nItem model number: \nYDX2307RD39\n\n\nDepartment: \nUnisex,2.5 centimetres,Flat,Synthetic Breathable and soft inner,Safety Trainers Men Women Lightweight Work Shoes Steel Toe Cap Breathable Industrial Sneakers,Synthetic,29.99,Medium,Non-slip outsole provides a perfect grip in every direction.,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
43,ZHIZIHUA,【Warm Reminder】The Size Mark On The shoes Is Chinese Size Number. (Such as Choosing 6 UK and you will receive a Chinese size 38 ). It is recommended to select the corresponding code number according to the length of the foot.,B098T8X1RW,Date First Available: \n7 July 2021\n\n\nManufacturer: \nZHIZIHUA\n\n\nASIN: \nB098T8YBPF\n\n\nItem model number: \nbreathable ladies trainers\n\n\nDepartment: \nWomen,4.5 centimetres,running trainer sport womens slip garden shoes womens black trainers white slip trainer casual trainer badminton shoes ladies ladies black walking shoes,"Fashion knitted mesh upper for ultra-lightweight support, very comfortable to wear. Let your foot always keep dry and cool --- Climbing Trekking Hiking Shoes Summer ladies womens tennis breathable shoes women lady ladies female road running fitness daily ","Women's Mesh Trainers Breathable Shoes,Ladies Sneakers Thick Bottom Comfortable Sports Shoes Slip On Walking Shoes Loafers Low Top Shoes","Upper with stretch breathable ultra light weight fabric for fast draining and cross ventilation, give excellent flexible and comfortable. -- Women Walking Shoes Athletic Trainers Lightweight Trainers Lightweight Ladies Sneakers Shock Gym Fitness Sports Sl",5.48,Medium,"Suitable for golf, daily walking, casual, outdoor, sports, tourism, camping, horse riding, driving, walking and etc.Perfect choice to pair with any sport or causal assemble. --- Table Tennis Shoes Climbing Shoes Cycling Shoes Boxing Shoes Softball Shoes T",2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
44,P&L,laces,B08R2CZGG5,Product Dimensions: \n30 x 15 x 10 cm; 540 Grams\n\n\nDate First Available: \n15 Jan. 2021\n\n\nASIN: \nB08SLGYLRJ\n\n\nDepartment: \nWomen,4 centimetres,Platform,Craft,Women's Sports Shoes Very Breathable and Lightweight with Platform Fashion Sports,Synthetic,17.24,Normal centimetres,Ethylene Vinyl Acetate,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
45,Think!,Lace-Up,B015IQDZXE,Is Discontinued By Manufacturer: \nNo\n\n\nPackage Dimensions: \n37.2 x 24 x 12.8 cm; 1.2 Kilograms\n\n\nDate First Available: \n30 Nov. 2015\n\n\nManufacturer: \nThink\n\n\nASIN: \nB015IQDKQ6\n\n\nItem model number: \n88865400\n\n\nDepartment: \nMen,1.5 centimetres,Block,Leather,Think! Kong Men’s Derby Lace-Up,Leather,100.54,Normal,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
46,Mercury MXC,Hook & Loop,B07GRXNDCK,Is Discontinued By Manufacturer: \nNo\n\n\nProduct Dimensions: \n26 x 9 x 16.5 cm; 480 Grams\n\n\nDate First Available: \n29 Aug. 2018\n\n\nASIN: \nB07GXQFMR8\n\n\nDepartment: \nUnisex Kids,2 centimetres,Flat,Synthetic,Mercury MXC Kids Boys Girls White School Trainers Pumps Hook and Loop Straps Size 8-2,Faux Leather,9.98,Medium,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
47,Visit the Skechers Store,Lace-Up,B07567D3L5,Package Dimensions: \n33.39 x 23.6 x 13.19 cm; 720 Grams\n\n\nDate First Available: \n15 Feb. 2018\n\n\nManufacturer: \nSkechers\n\n\nASIN: \nB076T84SB9\n\n\nItem model number: \n65474\n\n\nDepartment: \nMen,2.5 centimetres,Flat,Textile,"Skechers Classic Fit-Delson-Camden, Men’s Sneakers",Synthetic,44.3,Medium,Ethylene Vinyl Acetate,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
48,Visit the Geox Store,Hook & Loop,B07DJZYBPR,Package Dimensions: \n20.6 x 15.8 x 8.4 cm; 380 Grams\n\n\nDate First Available: \n13 Jun. 2019\n\n\nManufacturer: \nGeox\n\n\nASIN: \nB07SQFY1V6\n\n\nItem model number: \nB840LA0MAAS\n\n\nDepartment: \nBaby Girls,2 centimetres,Flat,Textile,Geox Baby Girl's B Rishon Low-Top Sneakers,Leather,20.14,Medium,Ethylene Vinyl Acetate,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
49,rismart,Lace-Up,B072LS66LV,Is Discontinued By Manufacturer: \nNo\n\n\nProduct Dimensions: \n30 x 10 x 20 cm; 453.59 Grams\n\n\nDate First Available: \n21 May 2017\n\n\nASIN: \nB0719NNJVB\n\n\nItem model number: \nSN2528\n\n\nDepartment: \nWomen,5.5 centimetres,Wedge,Synthetic,rismart Women's Hidden Wedge Heel Lace Up Perfect Comfort Leather Trainers Shoes,Leather,32.27,Normal,Rubber,2024-05-25 19:09:11.000000,0,0,0,0,2024-05-25 19:09:11.000000
